DATATIME,WINDSPEED,PREPOWER,WINDDIRECTION,TEMPERATURE,HUMIDITY,PRESSURE,"ROUND(A.WS,1)","ROUND(A.POWER,0)",YD15
2020-10-09 16:15:00,5.6,18020.0,264.0,13.9,14.0,847.0,6.3,19394.0,19394.0
2020-10-09 16:30:00,5.5,17429.0,263.0,13.8,14.0,847.0,6.0,19626.0,19626.0
2020-10-09 16:45:00,5.5,16837.0,262.0,13.7,15.0,846.0,6.3,22395.0,22395.0
2020-10-09 17:00:00,5.4,16246.0,260.0,13.6,15.0,846.0,6.4,23013.0,23013.0
2020-10-09 17:15:00,5.3,15331.0,261.0,13.3,15.0,846.0,6.3,21826.0,21826.0
2020-10-09 17:30:00,5.1,14093.0,262.0,12.9,16.0,846.0,6.7,25116.0,25116.0
2020-10-09 17:45:00,5.0,12854.0,264.0,12.5,17.0,847.0,6.3,21451.0,21451.0
2020-10-09 18:00:00,4.9,11616.0,265.0,12.1,18.0,847.0,6.2,19311.0,19311.0
2020-10-09 18:15:00,4.8,10730.0,266.0,11.6,19.0,847.0,5.0,12410.0,12410.0
2020-10-09 18:30:00,4.7,10195.0,266.0,11.0,20.0,847.0,3.5,5216.0,5216.0
2020-10-09 18:45:00,4.5,9661.0,265.0,10.5,22.0,847.0,3.4,4836.0,4836.0
2020-10-09 19:00:00,4.4,9126.0,265.0,9.9,23.0,847.0,4.2,7737.0,7737.0
2020-10-09 19:15:00,4.2,8766.0,262.0,9.5,24.0,847.0,4.0,7416.0,7416.0
2020-10-09 19:30:00,4.1,8579.0,257.0,9.2,24.0,847.0,3.3,4324.0,4324.0
2020-10-09 19:45:00,3.9,8392.0,252.0,8.9,24.0,847.0,3.1,3703.0,3703.0
2020-10-09 20:00:00,3.8,8205.0,247.0,8.6,24.0,847.0,3.0,3622.0,3622.0
2020-10-09 20:15:00,3.8,8462.0,242.0,8.4,25.0,847.0,2.9,3036.0,3036.0
2020-10-09 20:30:00,4.0,9165.0,237.0,8.1,26.0,847.0,3.0,2897.0,2897.0
2020-10-09 20:45:00,4.2,9868.0,232.0,7.8,27.0,847.0,3.9,6294.0,6294.0
2020-10-09 21:00:00,4.5,10571.0,228.0,7.5,28.0,847.0,4.1,8463.0,8463.0
2020-10-09 21:15:00,4.9,11435.0,226.0,7.2,29.0,847.0,4.4,8411.0,8411.0
2020-10-09 21:30:00,5.3,12460.0,226.0,7.1,29.0,847.0,4.5,10020.0,10020.0
